offspring_table,fitness
offspring_0_0,28.8547049
offspring_0_1,28.61853932
offspring_0_2,27.3654947
offspring_0_3,34.21396532
offspring_0_4,30.25394671
offspring_0_5,35.76358767
offspring_0_6,26.38221483
offspring_0_7,30.1079772
offspring_0_8,44.75726438
offspring_0_9,35.16037343
offspring_0_10,27.62987408
offspring_0_11,36.01238999
offspring_0_12,23.35116532
offspring_0_13,33.87948775
offspring_0_14,39.7140208
offspring_0_15,25.93738608
offspring_0_16,35.47824009
offspring_0_17,34.79583052
offspring_0_18,23.40318302
offspring_0_19,34.79980525
offspring_0_20,26.89741221
offspring_0_21,24.51799784
offspring_0_22,28.62763995
offspring_0_23,30.18792901
offspring_0_24,20.93510746
offspring_0_25,39.97720162
offspring_0_26,41.41435308
offspring_0_27,31.71228076
offspring_0_28,34.06309472
offspring_0_29,30.22627497
offspring_0_30,30.16391302
offspring_0_31,32.58395486
offspring_1_0,44.75726438
offspring_1_1,41.41435308
offspring_1_2,39.97720162
offspring_1_3,39.7140208
offspring_1_4,36.01238999
offspring_1_5,35.76358767
offspring_1_6,35.47824009
offspring_1_7,78.12654023
offspring_1_8,26.89741221
offspring_1_9,31.71228076
offspring_1_10,28.62763995
offspring_1_11,55.17234445
offspring_1_12,27.3654947
offspring_1_13,35.16037343
offspring_1_14,30.25394671
offspring_1_15,30.1079772
offspring_1_16,36.6730593
offspring_1_17,29.74795282
offspring_1_18,28.57491606
offspring_1_19,39.06794612
offspring_1_20,37.47480684
offspring_1_21,38.44669822
offspring_1_22,33.97126611
offspring_1_23,33.03063689
offspring_1_24,32.03766347
offspring_1_25,31.68629994
offspring_1_26,40.14790312
offspring_1_27,37.51848963
offspring_1_28,40.2909797
offspring_1_29,43.78912929
offspring_1_30,41.36707061
offspring_1_31,78.05442867
offspring_2_0,78.12654023
offspring_2_1,78.05442867
offspring_2_2,55.17234445
offspring_2_3,44.75726438
offspring_2_4,43.78912929
offspring_2_5,41.41435308
offspring_2_6,41.36707061
offspring_2_7,40.14790312
offspring_2_8,31.68629994
offspring_2_9,37.47480684
offspring_2_10,39.06794612
offspring_2_11,39.97720162
offspring_2_12,39.7140208
offspring_2_13,33.03063689
offspring_2_14,36.6730593
offspring_2_15,35.47824009
offspring_2_16,39.02164954
offspring_2_17,38.14904157
offspring_2_18,32.82491693
offspring_2_19,38.10628688
offspring_2_20,40.87415556
offspring_2_21,38.569418
offspring_2_22,39.73008617
offspring_2_23,38.23542703
offspring_2_24,67.46619222
offspring_2_25,55.22337974
offspring_2_26,34.76178926
offspring_2_27,66.71869766
offspring_2_28,31.96511387
offspring_2_29,44.23651751
offspring_2_30,43.40677404
offspring_2_31,81.62534225
offspring_3_0,81.62534225
offspring_3_1,78.12654023
offspring_3_2,78.05442867
offspring_3_3,67.46619222
offspring_3_4,66.71869766
offspring_3_5,55.22337974
offspring_3_6,55.17234445
offspring_3_7,41.41435308
offspring_3_8,43.40677404
offspring_3_9,40.14790312
offspring_3_10,39.97720162
offspring_3_11,39.73008617
offspring_3_12,43.78912929
offspring_3_13,36.6730593
offspring_3_14,44.75726438
offspring_3_15,38.14904157
offspring_3_16,39.98728119
offspring_3_17,39.63694862
offspring_3_18,33.82322718
offspring_3_19,38.73335818
offspring_3_20,53.13013355
offspring_3_21,43.01647221
offspring_3_22,38.22828719
offspring_3_23,71.16809868
offspring_3_24,57.94930971
offspring_3_25,42.45885012
offspring_3_26,49.61172426
offspring_3_27,71.60154123
offspring_3_28,74.3099299
offspring_3_29,42.20116676
offspring_3_30,61.15905816
offspring_3_31,84.63950059
offspring_4_0,84.63950059
offspring_4_1,81.62534225
offspring_4_2,78.12654023
offspring_4_3,78.05442867
offspring_4_4,74.3099299
offspring_4_5,71.60154123
offspring_4_6,71.16809868
offspring_4_7,53.13013355
offspring_4_8,66.71869766
offspring_4_9,55.22337974
offspring_4_10,61.15905816
offspring_4_11,44.75726438
offspring_4_12,40.14790312
offspring_4_13,43.78912929
offspring_4_14,41.41435308
offspring_4_15,49.61172426
offspring_4_16,36.08433568
offspring_4_17,60.5122172
offspring_4_18,38.26173206
offspring_4_19,66.16597667
offspring_4_20,53.13013355
offspring_4_21,55.22337974
offspring_4_22,56.87234676
offspring_4_23,64.2172853
offspring_4_24,75.51586369
offspring_4_25,76.46673485
offspring_4_26,48.72485914
offspring_4_27,44.22905348
offspring_4_28,76.88933906
offspring_4_29,71.04511422
offspring_4_30,72.76907878
offspring_4_31,88.99466838
offspring_5_0,88.99466838
offspring_5_1,84.63950059
offspring_5_2,81.62534225
offspring_5_3,78.12654023
offspring_5_4,78.05442867
offspring_5_5,76.88933906
offspring_5_6,76.46673485
offspring_5_7,56.87234676
offspring_5_8,72.76907878
offspring_5_9,74.3099299
offspring_5_10,71.16809868
offspring_5_11,55.22337974
offspring_5_12,66.16597667
offspring_5_13,75.51586369
offspring_5_14,66.71869766
offspring_5_15,64.2172853
offspring_5_16,33.59969141
offspring_5_17,61.16188982
offspring_5_18,75.07713805
offspring_5_19,72.18029912
offspring_5_20,74.94173645
offspring_5_21,71.51412308
offspring_5_22,52.04625614
offspring_5_23,69.08683737
offspring_5_24,60.97507267
offspring_5_25,75.25807574
offspring_5_26,68.27164
offspring_5_27,71.58639702
offspring_5_28,64.29685743
offspring_5_29,35.96979017
offspring_5_30,52.53024335
offspring_5_31,94.95338269
offspring_6_0,94.95338269
offspring_6_1,88.99466838
offspring_6_2,84.63950059
offspring_6_3,81.62534225
offspring_6_4,78.12654023
offspring_6_5,78.05442867
offspring_6_6,76.88933906
offspring_6_7,75.51586369
offspring_6_8,74.3099299
offspring_6_9,75.07713805
offspring_6_10,71.58639702
offspring_6_11,64.29685743
offspring_6_12,75.25807574
offspring_6_13,52.53024335
offspring_6_14,56.87234676
offspring_6_15,82.33536173
offspring_6_16,72.18029912
offspring_6_17,78.12654023
offspring_6_18,79.18835723
offspring_6_19,91.89973937
offspring_6_20,69.49407893
offspring_6_21,78.81041129
offspring_6_22,65.20823784
offspring_6_23,72.70426368
offspring_6_24,87.95381957
offspring_6_25,53.41346775
offspring_6_26,65.40246528
offspring_6_27,68.70088822
offspring_6_28,70.45333703
offspring_6_29,71.51156187
offspring_6_30,69.8066602
offspring_6_31,92.37261663
offspring_7_0,94.95338269
offspring_7_1,92.37261663
offspring_7_2,91.89973937
offspring_7_3,88.99466838
offspring_7_4,87.95381957
offspring_7_5,84.63950059
offspring_7_6,82.33536173
offspring_7_7,72.18029912
offspring_7_8,65.20823784
offspring_7_9,74.3099299
offspring_7_10,75.25807574
offspring_7_11,75.51586369
offspring_7_12,78.12654023
offspring_7_13,79.18835723
offspring_7_14,64.29685743
offspring_7_15,56.87234676
offspring_7_16,73.42114677
offspring_7_17,75.48759557
offspring_7_18,74.40600718
offspring_7_19,74.64010159
offspring_7_20,78.64886993
offspring_7_21,85.32604671
offspring_7_22,87.95381957
offspring_7_23,94.95338269
offspring_7_24,69.30432031
offspring_7_25,69.10170594
offspring_7_26,57.24854631
offspring_7_27,53.09456841
offspring_7_28,68.41907676
offspring_7_29,79.14614171
offspring_7_30,81.01804061
offspring_7_31,86.30180995
offspring_8_0,94.95338269
offspring_8_1,94.95338269
offspring_8_2,92.37261663
offspring_8_3,91.89973937
offspring_8_4,88.99466838
offspring_8_5,87.95381957
offspring_8_6,87.95381957
offspring_8_7,85.32604671
offspring_8_8,82.33536173
offspring_8_9,86.30180995
offspring_8_10,74.3099299
offspring_8_11,75.51586369
offspring_8_12,78.64886993
offspring_8_13,72.18029912
offspring_8_14,53.09456841
offspring_8_15,78.12654023
offspring_8_16,68.55056027
offspring_8_17,77.99080344
offspring_8_18,69.16689956
offspring_8_19,79.02702161
offspring_8_20,66.29707241
offspring_8_21,81.01907503
offspring_8_22,82.28367227
offspring_8_23,69.91074589
offspring_8_24,74.94941489
offspring_8_25,80.82495796
offspring_8_26,54.03008097
offspring_8_27,81.38617396
offspring_8_28,83.99854141
offspring_8_29,78.98285918
