offspring_table,fitness
offspring_0_0,38.83122519
offspring_0_1,32.07131984
offspring_0_2,26.04108978
offspring_0_3,36.27246061
offspring_0_4,24.74005131
offspring_0_5,33.24745583
offspring_0_6,26.6226227
offspring_0_7,32.34457274
offspring_0_8,28.94572042
offspring_0_9,40.35655935
offspring_0_10,31.02589241
offspring_0_11,30.31853643
offspring_0_12,36.05835197
offspring_0_13,38.79740815
offspring_0_14,47.3218044
offspring_0_15,40.70497911
offspring_0_16,29.38661951
offspring_0_17,46.49539363
offspring_0_18,39.8700664
offspring_0_19,32.5461001
offspring_0_20,37.32050069
offspring_0_21,31.88248297
offspring_0_22,36.6930497
offspring_0_23,26.10764723
offspring_0_24,29.66853903
offspring_0_25,37.17208093
offspring_0_26,37.56189386
offspring_0_27,40.84740556
offspring_0_28,36.15192871
offspring_0_29,31.89185347
offspring_0_30,28.79844143
offspring_0_31,33.49272031
offspring_1_0,46.50478313
offspring_1_1,45.80603193
offspring_1_2,40.15804386
offspring_1_3,39.99008549
offspring_1_4,39.48847425
offspring_1_5,39.07857703
offspring_1_6,38.03973583
offspring_1_7,29.37385558
offspring_1_8,37.87825922
offspring_1_9,35.36043935
offspring_1_10,28.56959823
offspring_1_11,53.51063406
offspring_1_12,35.85049651
offspring_1_13,35.35331167
offspring_1_14,31.07557516
offspring_1_15,35.06260729
offspring_1_16,32.37937073
offspring_1_17,32.37937073
offspring_1_18,36.56482012
offspring_1_19,29.97704532
offspring_1_20,37.14953683
offspring_1_21,44.99302971
offspring_1_22,37.84032147
offspring_1_23,30.89490953
offspring_1_24,32.98115954
offspring_1_25,25.98025217
offspring_1_26,38.14280649
offspring_1_27,77.25353129
offspring_1_28,31.61437555
offspring_1_29,42.11418724
offspring_1_30,32.78513139
offspring_1_31,80.197529
offspring_2_0,80.197529
offspring_2_1,77.25353129
offspring_2_2,53.51063406
offspring_2_3,46.50478313
offspring_2_4,45.80603193
offspring_2_5,44.99302971
offspring_2_6,42.11418724
offspring_2_7,35.35331167
offspring_2_8,36.56482012
offspring_2_9,40.15804386
offspring_2_10,39.99008549
offspring_2_11,32.37937073
offspring_2_12,35.85049651
offspring_2_13,39.48847425
offspring_2_14,30.89490953
offspring_2_15,28.56959823
offspring_2_16,38.7268996
offspring_2_17,37.34718291
offspring_2_18,33.16829916
offspring_2_19,38.87104608
offspring_2_20,42.17315735
offspring_2_21,72.39151902
offspring_2_22,38.84585385
offspring_2_23,42.16989968
offspring_2_24,40.02261429
offspring_2_25,42.62693321
offspring_2_26,37.74046851
offspring_2_27,36.6159755
offspring_2_28,51.87963089
offspring_2_29,74.19753464
offspring_2_30,41.42495895
offspring_2_31,84.18345961
offspring_3_0,84.18345961
offspring_3_1,80.197529
offspring_3_2,77.25353129
offspring_3_3,74.19753464
offspring_3_4,72.39151902
offspring_3_5,53.51063406
