offspring_table,fitness
offspring_0_0,38.32413423
offspring_0_1,29.38733565
offspring_0_2,31.24055428
offspring_0_3,41.33670847
offspring_0_4,36.50574369
offspring_0_5,31.77598225
offspring_0_6,38.59725406
offspring_0_7,37.33946642
offspring_0_8,31.20235684
offspring_0_9,31.30362089
offspring_0_10,39.58181527
offspring_0_11,26.59590552
offspring_0_12,39.79305415
offspring_0_13,40.9743069
offspring_0_14,32.83529199
offspring_0_15,36.97616549
offspring_0_16,32.11718515
offspring_0_17,40.46463248
offspring_0_18,39.54201828
offspring_0_19,44.92582813
offspring_0_20,35.09491716
offspring_0_21,22.83303439
offspring_0_22,25.32992849
offspring_0_23,41.31783086
offspring_0_24,36.25562131
offspring_0_25,24.50952526
offspring_0_26,41.95669062
offspring_0_27,35.5124726
offspring_0_28,30.28093708
offspring_0_29,27.07155157
offspring_0_30,37.76872319
offspring_0_31,34.41411802
offspring_1_0,44.86074084
offspring_1_1,41.95669062
offspring_1_2,41.33670847
offspring_1_3,41.31783086
offspring_1_4,40.9743069
offspring_1_5,40.46463248
offspring_1_6,39.79305415
offspring_1_7,31.30362089
offspring_1_8,29.38733565
offspring_1_9,35.09491716
offspring_1_10,35.5124726
offspring_1_11,36.50574369
offspring_1_12,39.54201828
offspring_1_13,36.25562131
offspring_1_14,39.58181527
offspring_1_15,31.24055428
offspring_1_16,32.83529199
offspring_1_17,32.83529199
offspring_1_18,31.45169087
offspring_1_19,39.65716722
offspring_1_20,29.55941333
offspring_1_21,41.35650659
offspring_1_22,34.64144921
offspring_1_23,47.37977085
offspring_1_24,37.34279775
offspring_1_25,40.51863424
offspring_1_26,57.98016292
offspring_1_27,39.99843175
offspring_1_28,35.78026848
offspring_1_29,33.28993858
offspring_1_30,38.62615491
offspring_1_31,55.97420134
offspring_2_0,57.98016292
offspring_2_1,55.97420134
offspring_2_2,47.37977085
offspring_2_3,44.86074084
offspring_2_4,41.95669062
offspring_2_5,41.35650659
offspring_2_6,41.33670847
offspring_2_7,36.50574369
offspring_2_8,31.45169087
offspring_2_9,40.46463248
offspring_2_10,39.79305415
offspring_2_11,39.54201828
offspring_2_12,35.09491716
offspring_2_13,35.78026848
offspring_2_14,31.30362089
offspring_2_15,37.34279775
offspring_2_16,41.70285539
offspring_2_17,33.5913126
offspring_2_18,32.37553738
offspring_2_19,40.71112224
offspring_2_20,42.4089853
offspring_2_21,29.66086504
offspring_2_22,40.50305718
offspring_2_23,58.20054945
offspring_2_24,53.71064141
offspring_2_25,32.76632454
offspring_2_26,40.22472447
offspring_2_27,36.54220232
offspring_2_28,42.60909541
offspring_2_29,28.83978695
offspring_2_30,39.87128825
offspring_2_31,58.3881496
offspring_3_0,58.3881496
offspring_3_1,58.20054945
offspring_3_2,57.98016292
offspring_3_3,55.97420134
offspring_3_4,53.71064141
offspring_3_5,47.37977085
offspring_3_6,44.86074084
offspring_3_7,32.76632454
offspring_3_8,42.60909541
offspring_3_9,40.22472447
offspring_3_10,40.71112224
offspring_3_11,40.46463248
offspring_3_12,41.70285539
offspring_3_13,41.95669062
offspring_3_14,36.50574369
offspring_3_15,28.83978695
offspring_3_16,37.67323055
offspring_3_17,35.12502213
offspring_3_18,38.15251541
offspring_3_19,41.06035855
offspring_3_20,52.43869398
offspring_3_21,42.39341528
offspring_3_22,53.29042575
offspring_3_23,36.64184822
offspring_3_24,48.33851689
offspring_3_25,38.22613558
offspring_3_26,50.81798247
offspring_3_27,34.77635931
offspring_3_28,29.79724608
offspring_3_29,40.00747285
offspring_3_30,54.34515944
offspring_3_31,53.85123475
offspring_4_0,58.3881496
offspring_4_1,58.20054945
offspring_4_2,57.98016292
offspring_4_3,55.97420134
offspring_4_4,54.34515944
offspring_4_5,53.85123475
offspring_4_6,53.71064141
offspring_4_7,44.86074084
offspring_4_8,47.37977085
offspring_4_9,37.67323055
offspring_4_10,41.95669062
offspring_4_11,41.06035855
offspring_4_12,48.33851689
offspring_4_13,50.81798247
offspring_4_14,40.00747285
offspring_4_15,32.76632454
offspring_4_16,37.40875361
offspring_4_17,42.63064202
offspring_4_18,40.44914698
offspring_4_19,47.20395212
offspring_4_20,32.50523458
offspring_4_21,53.29536213
offspring_4_22,54.6767011
offspring_4_23,42.1407912
offspring_4_24,49.72342526
offspring_4_25,41.0264395
offspring_4_26,39.315974
offspring_4_27,52.05755929
offspring_4_28,58.24564922
offspring_4_29,34.27096931
offspring_4_30,45.74745492
offspring_4_31,58.00448341
offspring_5_0,58.3881496
offspring_5_1,58.24564922
offspring_5_2,58.20054945
offspring_5_3,58.00448341
offspring_5_4,57.98016292
offspring_5_5,55.97420134
offspring_5_6,54.6767011
offspring_5_7,40.44914698
offspring_5_8,44.86074084
offspring_5_9,50.81798247
offspring_5_10,41.06035855
offspring_5_11,54.34515944
offspring_5_12,47.20395212
offspring_5_13,52.05755929
offspring_5_14,41.0264395
offspring_5_15,53.29536213
offspring_5_16,48.50485069
offspring_5_17,52.83759463
offspring_5_18,39.57161503
offspring_5_19,48.10350294
