offspring_table,fitness
offspring_0_0,27.06260739
offspring_0_1,32.31771019
offspring_0_2,28.59730512
offspring_0_3,20.82707886
offspring_0_4,38.71961108
offspring_0_5,40.00801723
offspring_0_6,32.31717377
offspring_0_7,22.50524777
offspring_0_8,29.3451981
offspring_0_9,37.50917117
offspring_0_10,43.66982241
offspring_0_11,38.09800543
offspring_0_12,32.60725529
offspring_0_13,28.61222953
offspring_0_14,43.43197296
offspring_0_15,32.98549197
offspring_0_16,44.48509296
offspring_0_17,30.4148271
offspring_0_18,34.09217855
offspring_0_19,42.12002864
offspring_0_20,25.69236258
offspring_0_21,38.88308285
offspring_0_22,49.9897254
offspring_0_23,31.72502397
offspring_0_24,46.29621464
offspring_0_25,47.02858961
offspring_0_26,35.93570252
offspring_0_27,22.49125892
offspring_0_28,35.13705458
offspring_0_29,36.39232653
offspring_0_30,40.62741372
offspring_0_31,24.30542044
offspring_1_0,49.3533954
offspring_1_1,46.61423519
offspring_1_2,45.76347324
offspring_1_3,44.0411418
offspring_1_4,43.10748427
offspring_1_5,42.97322342
offspring_1_6,41.60208561
offspring_1_7,35.40296112
offspring_1_8,38.21646643
offspring_1_9,28.03509301
offspring_1_10,37.46167543
offspring_1_11,39.46047746
offspring_1_12,39.99108372
offspring_1_13,31.77017042
offspring_1_14,34.39713597
offspring_1_15,37.02082489
offspring_1_16,31.32436678
offspring_1_17,39.84522806
offspring_1_18,37.39577331
offspring_1_19,27.89010766
offspring_1_20,48.92676272
offspring_1_21,44.21886583
offspring_1_22,35.94005131
offspring_1_23,44.55388776
offspring_1_24,31.37551014
offspring_1_25,46.54560774
offspring_1_26,41.89086701
offspring_1_27,29.20116156
offspring_1_28,42.00922661
offspring_1_29,39.22774397
offspring_1_30,32.19816578
offspring_1_31,78.31645949
offspring_2_0,78.31645949
offspring_2_1,49.3533954
offspring_2_2,48.92676272
offspring_2_3,46.61423519
offspring_2_4,46.54560774
offspring_2_5,45.76347324
offspring_2_6,44.55388776
offspring_2_7,42.97322342
offspring_2_8,41.60208561
offspring_2_9,42.00922661
offspring_2_10,37.46167543
offspring_2_11,41.89086701
offspring_2_12,44.21886583
offspring_2_13,37.02082489
offspring_2_14,44.0411418
offspring_2_15,35.40296112
offspring_2_16,36.2025797
offspring_2_17,45.63934398
offspring_2_18,39.13885508
offspring_2_19,36.91581283
offspring_2_20,39.74517085
offspring_2_21,35.518051
offspring_2_22,67.49756246
offspring_2_23,42.40138174
offspring_2_24,45.42186161
offspring_2_25,33.26412683
offspring_2_26,41.5274163
offspring_2_27,44.27387528
offspring_2_28,44.24457621
offspring_2_29,31.94544477
offspring_2_30,50.37393076
offspring_2_31,80.97212427
offspring_3_0,80.97212427
offspring_3_1,78.31645949
offspring_3_2,67.49756246
offspring_3_3,50.37393076
offspring_3_4,49.3533954
offspring_3_5,48.92676272
offspring_3_6,46.61423519
offspring_3_7,46.54560774
offspring_3_8,41.89086701
offspring_3_9,45.63934398
offspring_3_10,44.24457621
offspring_3_11,35.518051
offspring_3_12,42.00922661
offspring_3_13,45.76347324
offspring_3_14,44.55388776
offspring_3_15,39.13885508
offspring_3_16,45.67866888
offspring_3_17,45.5200638
offspring_3_18,38.39909503
offspring_3_19,38.81859538
offspring_3_20,55.15655068
offspring_3_21,35.92202458
offspring_3_22,43.42338552
offspring_3_23,27.35596124
offspring_3_24,43.67006293
offspring_3_25,48.19331843
offspring_3_26,41.76963125
offspring_3_27,38.14996793
offspring_3_28,42.8214282
offspring_3_29,47.66053119
offspring_3_30,72.52016435
offspring_3_31,77.10301139
offspring_4_0,80.97212427
offspring_4_1,78.31645949
offspring_4_2,77.10301139
offspring_4_3,72.52016435
offspring_4_4,67.49756246
offspring_4_5,55.15655068
offspring_4_6,50.37393076
offspring_4_7,38.39909503
offspring_4_8,46.54560774
offspring_4_9,49.3533954
offspring_4_10,46.61423519
offspring_4_11,43.42338552
offspring_4_12,43.67006293
offspring_4_13,39.13885508
offspring_4_14,48.92676272
offspring_4_15,48.19331843
offspring_4_16,49.46031275
offspring_4_17,30.87693001
offspring_4_18,68.74707096
offspring_4_19,42.82202285
offspring_4_20,46.75318042
offspring_4_21,51.18073715
offspring_4_22,49.23444115
offspring_4_23,73.52213034
offspring_4_24,43.65802431
offspring_4_25,40.98073716
